"Domain","Server","ZoneName","ZoneType","DynamicUpdate","IsAutoCreated","IsDsIntegrated","IsReverseLookupZone","ReplicationScope","DirectoryPartitionName","MasterServers","NotifyServers","SecondaryServers","AgingEnabled","NoRefreshInterval","RefreshInterval","ScavengeServers"
"cohovineyard.com","CVDC1.cohovineyard.com","_msdcs.CohoVineyard.com","Primary","Secure","False","True","False","Forest","ForestDnsZones.CohoVineyard.com",,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","0.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","1.9.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","10.10.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"True","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","127.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","2.12.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","2.2.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","20.12.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","255.in-addr.arpa","Primary","None","True","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
"cohovineyard.com","CVDC1.cohovineyard.com","3.12.10.in-addr.arpa","Primary","NonsecureAndSecure","False","False","True","None",,,,,"False","7.00:00:00","7.00:00:00",
